status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness,state_zip,state,city
NEW,"Senior, Data Engineer",Walmart,"Sunnyvale, CA 94086",2024-11-07,"Performs initial data quality checks on extracted data. Creates data pipelines and transform data to a structure that is relevant. Everyone has data, but the sheer volume of data at Walmart can be…","Benefits: Paid jury duty, Paid parental leave, Employee stock purchase plan, Disability insurance, Health insurance, Dental insurance, 401(k), Military leave, Paid time off, Family leave, Parental leave, Vision insurance, 401(k) matching, Life insurance, Paid sick time",https://www.indeed.com/m/viewjob?jk=dd69111a392c05c4,IndeedScraperUSAEng_dd69111a392c05c4,IndeedScraperUSAEng,Data,USA_ENGLISH,$117000 - $234000 yearly,UNKNOWN, CA 94086,CA,Sunnyvale
NEW,Store Scanning Specialist,RetailData LLC,"Apex, NC",2024-10-28,Flexible part time jobs now available in your area! Perfect for stay at home Mom and Dads! Looking for an independent part time job while your children are in school? As your children go back to…,"Job types: Part-time
Benefits: Mileage reimbursement, 401(k) matching, Flexible schedule, Referral program, Pet insurance
Job types cc: Part-time",https://www.indeed.com/m/viewjob?jk=4a21ddda7395ed1a,IndeedScraperUSAEng_4a21ddda7395ed1a,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC,NC,Apex
NEW,Marketing Applied Scientist II,Uber,"New York, NY",2024-10-03,Experience with big data using technologies like Spark and Hive. Ability to use Python or R to work efficiently at scale with large data sets. Collaborate with the Product and/or Engineering teams to…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=61ac4124667518a5,IndeedScraperUSAEng_61ac4124667518a5,IndeedScraperUSAEng,Data,USA_ENGLISH,$149000 - $165500 yearly,UNKNOWN, NY,NY,New York
NEW,"Research Data Analyst (Hybrid Opportunity, 2 Year Fixed Term)",Stanford University,"Stanford, CA",2024-10-03,"Analyze data processes in documentation. The Analyst will be responsible for day-to-day management of information workflow, which include administrating REDCap instances, quality controlling data, and…","Job types: Full-time
Benefits: Tuition reimbursement, Retirement plan
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=bbb6a310c0afcc13,IndeedScraperUSAEng_bbb6a310c0afcc13,IndeedScraperUSAEng,Data,USA_ENGLISH,$82468 - $106256 yearly,UNKNOWN, CA,CA,Stanford
NEW,Bioinformatics Data Engineer,Revolution Medicines,"Redwood City, CA 94063",2024-10-05,Carry out data modeling and curation to ensure data quality and relevance. Experience in biomarker data analysis and bioinformatics. Revolution Medicines takes protection and security of personal data…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=a4d2ecf9b7c35fa9,IndeedScraperUSAEng_a4d2ecf9b7c35fa9,IndeedScraperUSAEng,Data,USA_ENGLISH,$120000 - $145000 yearly,UNKNOWN, CA 94063,CA,Redwood City
NEW,Data Center Technician L1,NTT DATA,"Garland, TX 75044",2024-10-05,"Make an impact with NTT DATA Join a company that is pushing the boundaries of what is possible. We are renowned for our technical excellence and leading innovations, and for making a difference to…","Job types: Full-time
Benefits: Disability insurance, Health insurance, Dental insurance, 401(k), Flexible spending account, Paid time off, Vision insurance
Job types cc: Full-time
Schedules: Weekends as needed, Nights as needed",https://www.indeed.com/m/viewjob?jk=23bf6e3b7bc92514,IndeedScraperUSAEng_23bf6e3b7bc92514,IndeedScraperUSAEng,Data,USA_ENGLISH,$27.8 - $41.6 hourly,UNKNOWN, TX 75044,TX,Garland
NEW,TJJD - Clerk II - (GNS) - 46152,TEXAS JUVENILE JUSTICE DEPARTMENT,"Gainesville, TX 76240",2024-10-30,TJJD - Clerk II - (GNS) - 46152 (00046152) Organization: TEXAS JUVENILE JUSTICE DEPARTMENT Primary Location: Texas-Gainesville Work Locations: Gainesville 1379 FM 678 Gainesville 76240-7546 Job:…,"Job types: Full-time
Benefits: AD&D insurance, Paid holidays, Health insurance, Dental insurance, Flexible spending account, Tuition reimbursement, Employee assistance program, Vision insurance, Life insurance, Retirement plan, Paid sick time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=5326eda64bda4e19,IndeedScraperUSAEng_5326eda64bda4e19,IndeedScraperUSAEng,Data,USA_ENGLISH,$3016 - $3016.8 monthly,UNKNOWN, TX 76240,TX,Gainesville
NEW,Student Assistant - Lithium Valley Data Visualization (Remote),"University Enterprises, Inc.","Sacramento, CA 95819",2024-10-09,Develop data visualizations and maps based on funding awarded throughout the Lithium Valley Region. The student will develop data visualizations and maps based on funding awarded throughout the…,"Job types: Part-time
Remote: Remote
Job types cc: Part-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=2e5da9e20a9138da,IndeedScraperUSAEng_2e5da9e20a9138da,IndeedScraperUSAEng,Data,USA_ENGLISH,$17.7 - $17.7 hourly,FULLY_REMOTE, CA 95819,CA,Sacramento
NEW,Sr. Program Coordinator (Study Abroad Enrollment Manager and Data Administrator),Rutgers University,"New Brunswick, NJ 08901",2024-11-08,"Manage data quality, integrations, security, and reporting to ensure accurate, efficient data handling and streamlined application processes that support enrollment growth.","Job types: Part-time, Full-time
Shifts: 8 hour shift, Day shift
Job types cc: Part-time, Full-time
Schedules: 8 hour shift, Day shift",https://www.indeed.com/m/viewjob?jk=335f197be01bf499,IndeedScraperUSAEng_335f197be01bf499,IndeedScraperUSAEng,Data,USA_ENGLISH,$75000 - $97972 yearly,UNKNOWN, NJ 08901,NJ,New Brunswick
NEW,Sr Data Modeler (Hybrid),Globe Life,"McKinney, TX 75070",2024-11-08,Create a data-centric organizational environment that allows for empowerment of data across citizen data users and visualization creators within the organization. How Globe Life Will Support You:,"Job types: Full-time
Remote: Hybrid work
Benefits: Paid holidays, Dental insurance, 401(k), Parental leave, Vision insurance, 401(k) matching, Gym membership, Life insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=9b21cdd8b233d656,IndeedScraperUSAEng_9b21cdd8b233d656,IndeedScraperUSAEng,Data,USA_ENGLISH,,TEMPORARILY_REMOTE, TX 75070,TX,McKinney
NEW,"Technical Curriculum Developer III, AI/ML, Cloud Learning",Google,"Addison, TX",2024-10-23,"Experience in Python coding, with experience using data science libraries (NumPy, Pandas, etc.) and creating Jupyter notebooks. Bachelor's degree in Computer Science, Mathematics, or Information…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=c7ecebcf4b851746,IndeedScraperUSAEng_c7ecebcf4b851746,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX,TX,Addison
NEW,Staff Data Scientist - Data Science Platform,Databricks,"Mountain View, CA",2024-10-03,"Engineering and data science skills, allowing you to not only understand data, analytics and AI pain-points, but also build scalable solutions to those problems. Coding skills in Python and SQL.",,https://www.indeed.com/m/viewjob?jk=c12ced1ee184e374,IndeedScraperUSAEng_c12ced1ee184e374,IndeedScraperUSAEng,Data,USA_ENGLISH,$192000 - $260000 yearly,UNKNOWN, CA,CA,Mountain View
NEW,Sales Intelligence Manager,Blue Diamond Growers,"Sacramento, CA",2024-10-14,"Excellent understanding of data warehousing, ETL processes, and data modeling. Ensure data accuracy, integrity, and timeliness across all reporting tools.","Job types: Full-time
Shifts: Day shift
Benefits: Health insurance, Opportunities for advancement
Job types cc: Full-time
Schedules: Day shift",https://www.indeed.com/m/viewjob?jk=8aa87d8a29e74580,IndeedScraperUSAEng_8aa87d8a29e74580,IndeedScraperUSAEng,Data,USA_ENGLISH,$114300 - $148300 yearly,UNKNOWN, CA,CA,Sacramento
