status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,MDS (Minimum Data Set) Coordinator,Camellia Gardens Center for Nursing and Rehabilitation,"Henderson, NC 27536",2024-11-11,We are pleased to offer a voluntary benefit for employees to access their pay on their own schedule. Pelican Health Henderson is seeking an experienced MDS (Minimum Data Set) Coordinator.,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=4c581d107bfb9d7a,IndeedScraperUSAEng_4c581d107bfb9d7a,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Business Analyst,NetApp,"Research Triangle Park, NC",2024-11-19,"No matter the data type, workload or environment, we help our customers identify and realize new business possibilities. NetApp’s ability to provide this service is an integral part of the customer…","Job types: Full-time
Benefits: Employee stock purchase plan, Health insurance, Dental insurance, RSU, Tuition reimbursement, Paid time off, Pension plan, Volunteer time off, Life insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=4a6c91299f5c1fd3,IndeedScraperUSAEng_4a6c91299f5c1fd3,IndeedScraperUSAEng,Data,USA_ENGLISH,$132300 - $186010 yearly,UNKNOWN
NEW,Assistant Accounting Data Entry Clerk,Express Employment Professionals,"Raleigh, NC 27612",2024-10-28,"Daily enter key data of financial transactions in database. We are looking for a skilled Accounting Data Entry Clerk to perform a variety of accounting, bookkeeping and financial tasks.","Job types: Full-time
Shifts: 8 hour shift
Job types cc: Full-time
Schedules: 8 hour shift",https://www.indeed.com/m/viewjob?jk=de103c3b395c6018,IndeedScraperUSAEng_de103c3b395c6018,IndeedScraperUSAEng,Data,USA_ENGLISH,$21 - $21 hourly,UNKNOWN
NEW,Participatory Budgeting Data Coordinator,City of Durham,"Durham, NC 27701",2024-11-26,"Quantitative and Qualitative analysis of PB program data. Other special projects and data analysis as needed. Collect, organize, and interpret data sets from various sources (e.g., databases, external…","Job types: Part-time, Internship
Job types cc: Part-time, Internship",https://www.indeed.com/m/viewjob?jk=fa1f2b3fc15d45c2,IndeedScraperUSAEng_fa1f2b3fc15d45c2,IndeedScraperUSAEng,Data,USA_ENGLISH,$21 - $22.95 hourly,UNKNOWN
NEW,Research Enterprise Data (RED) Support Specialist,North Carolina State University,"Raleigh, NC",2024-11-01,"Sponsored Programs is responsible for non-monetary post-award management, outgoing subawards, and non-monetary agreements necessary for the conduct of research, such as collaboration and data use…","Job types: Full-time
Job types cc: Full-time
Schedules: Overtime, Monday to Friday",https://www.indeed.com/m/viewjob?jk=cfe91b3fa50def71,IndeedScraperUSAEng_cfe91b3fa50def71,IndeedScraperUSAEng,Data,USA_ENGLISH,$36381 - $91526 yearly,UNKNOWN
NEW,Data Governance Manager,Hyster-Yale Group,"Greenville, NC 27834",2024-10-28,"Extensive data management experience, including in-depth knowledge of data modeling, data integration, data configuration, and general database concepts. Align data quality with business objectives.","Job types: Full-time
Remote: Hybrid work
Benefits: Profit sharing, Health insurance, Dental insurance, 401(k), Tuition reimbursement, Paid time off, Vision insurance, Life insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=d479f8cef087e7c6,IndeedScraperUSAEng_d479f8cef087e7c6,IndeedScraperUSAEng,Data,USA_ENGLISH,,TEMPORARILY_REMOTE
NEW,Power BI Data Visualization Analyst,North Carolina Dept of Public Instruction,"Wake County, NC",2024-11-14,This position must ensure quality data requirements gathering and documentation to support the modifications of systems and various data analytical strategies as may be developed.,"Job types: Full-time
Benefits: Health insurance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=dbec2b8dbad9fa4a,IndeedScraperUSAEng_dbec2b8dbad9fa4a,IndeedScraperUSAEng,Data,USA_ENGLISH,$75814 - $113721 yearly,UNKNOWN
NEW,Azure and Snowflake Data Engineer,Infosys,"Raleigh, NC",2024-11-14,"Experience in large scale cloud data migrations using Snowflake, Python, Spark, SQL. In this role, you will enable digital transformation for our clients in a global delivery model, research on…",,https://www.indeed.com/m/viewjob?jk=e3f8b4d8c880e667,IndeedScraperUSAEng_e3f8b4d8c880e667,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Data Analyst,Carter Bank and Trust,"Martinsville, VA 24112",2024-10-28,Acquire data from primary or secondary data sources and maintain databases/data systems. Proven working experience as a data analyst or business data analyst. Establish and maintain foundational data.,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=b8d4ee9a407d42cb,IndeedScraperUSAEng_b8d4ee9a407d42cb,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Business Analyst - Child Support Services,"Changing Technologies, Inc.","Raleigh, NC 27603",2024-11-26,"7+ years of experience creating context, workflow, data flow, and functional decomposition diagrams. CONTRACT LENGTH:* Full-time, Contract. Collaborate with stakeholders to identify and document…","Job types: Full-time, Contract
Shifts: 8 hour shift, Day shift
Job types cc: Full-time, Contract
Schedules: 8 hour shift, Day shift, Monday to Friday",https://www.indeed.com/m/viewjob?jk=2d3dacaa4300119f,IndeedScraperUSAEng_2d3dacaa4300119f,IndeedScraperUSAEng,Data,USA_ENGLISH,$60 - $60 hourly,UNKNOWN
